,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
104,Brunei ,276067,-1.0,225,-1.0,243601,-1.0,32241,-1,619775.0,505.0,717784,1611437,445431,Asia
105,Algeria,271394,-1.0,6881,-1.0,182756,-1.0,81757,-1,5984.0,152.0,230861,5091,45350148,Africa
106,Nigeria,266463,-1.0,3155,-1.0,259850,-1.0,3458,11,1229.0,15.0,5708974,26339,216746934,Africa
107,Zimbabwe,262324,-1.0,5658,-1.0,255428,-1.0,1238,12,17110.0,369.0,2525756,164744,15331428,Africa
108,Uzbekistan,250622,-1.0,1637,-1.0,241486,-1.0,7499,23,7289.0,48.0,1377915,40077,34382084,Asia
109,Mozambique,231994,-1.0,2233,-1.0,228805,-1.0,956,11,7011.0,67.0,1371127,41437,33089461,Africa
110,Martinique,229687,-1.0,1097,-1.0,0,0.0,0,12,613994.0,2932.0,828928,2215870,374087,North America
111,Laos,217987,-1.0,758,-1.0,0,0.0,0,-1,29139.0,101.0,1233207,164845,7481023,Asia
112,Iceland,208688,-1.0,229,-1.0,0,0.0,0,2,604204.0,663.0,1996384,5780036,345393,Europe
113,Afghanistan,208635,12.0,7896,-1.0,186505,187.0,14234,45,5119.0,194.0,1190167,29203,40754388,Asia
114,Kyrgyzstan,206592,-1.0,2991,-1.0,196406,-1.0,7195,131,30705.0,445.0,1907195,283460,6728271,Asia
115,El Salvador,201785,-1.0,4230,-1.0,179410,-1.0,18145,8,30805.0,646.0,2610114,398467,6550389,North America
116,Guadeloupe,201394,-1.0,1007,-1.0,0,0.0,0,19,503744.0,2519.0,938039,2346306,399794,North America
117,Trinidad and Tobago,187908,-1.0,4326,-1.0,183264,-1.0,318,8,133592.0,3076.0,888936,631982,1406585,North America
118,Maldives,185715,-1.0,311,-1.0,163687,-1.0,21717,25,343290.0,575.0,2213831,4092223,540985,Asia
119,Ghana,171112,-1.0,1462,-1.0,169636,-1.0,14,2,5282.0,45.0,2527319,78015,32395450,Africa
120,Namibia,170741,-1.0,4088,-1.0,166452,-1.0,201,-1,64825.0,1552.0,1062663,403460,2633874,Africa
121,Uganda,170400,-1.0,3630,-1.0,100431,-1.0,66339,3,3518.0,75.0,3012408,62198,48432863,Africa
122,Jamaica,153629,-1.0,3484,-1.0,102268,-1.0,47877,-1,51465.0,1167.0,1183986,396633,2985094,North America
123,Cambodia,138698,1.0,3056,-1.0,135633,2.0,9,-1,8079.0,178.0,3091420,180062,17168639,Asia
124,Rwanda,133090,-1.0,1468,-1.0,131559,-1.0,63,-1,9786.0,108.0,5959042,438150,13600464,Africa
125,Cameroon,123993,-1.0,1965,-1.0,118616,-1.0,3412,13,4442.0,70.0,1751774,62762,27911548,Africa
126,Malta,117062,-1.0,824,-1.0,115623,-1.0,615,4,263634.0,1856.0,2109235,4750176,444033,Europe
127,Barbados,106157,-1.0,571,-1.0,105570,-1.0,16,-1,368571.0,1982.0,790354,2744066,288023,North America
128,Angola,105184,-1.0,1931,-1.0,103216,-1.0,37,-1,3003.0,55.0,1499795,42818,35027343,Africa
129,Channel Islands,101160,-1.0,223,-1.0,100834,-1.0,103,-1,573265.0,1264.0,1252808,7099551,176463,Europe
130,French Guiana,98041,-1.0,420,-1.0,11254,-1.0,86367,6,312065.0,1337.0,651257,2072951,314169,South America
131,DRC,95514,-1.0,1463,-1.0,84264,-1.0,9787,-1,1003.0,15.0,846704,8890,95240792,Africa
132,Senegal,88902,-1.0,1971,-1.0,86929,-1.0,2,-1,5036.0,112.0,1146543,64946,17653671,Africa
133,Malawi,88559,-1.0,2686,-1.0,85369,-1.0,504,67,4388.0,133.0,624784,30959,20180839,Africa
134,Ivory Coast,87997,-1.0,833,-1.0,87149,-1.0,15,-1,3172.0,30.0,1672711,60295,27742298,Africa
135,Suriname,82227,-1.0,1400,-1.0,0,0.0,0,-1,137773.0,2346.0,240907,403644,596831,South America
136,New Caledonia,79845,-1.0,314,-1.0,79526,-1.0,5,9,274462.0,1079.0,98964,340182,290915,Australia/Oceania
137,French Polynesia,77957,-1.0,649,-1.0,0,0.0,0,7,274338.0,2284.0,-1,-1,284164,Australia/Oceania
138,Eswatini,74143,10.0,1423,1.0,72699,23.0,21,-1,62578.0,1201.0,1048704,885119,1184817,Africa
139,Guyana,72984,-1.0,1295,-1.0,71585,-1.0,104,-1,91914.0,1631.0,718604,904992,794045,South America
140,Belize,70660,-1.0,688,-1.0,69949,-1.0,23,6,171426.0,1669.0,576016,1397453,412190,North America
141,Fiji,68848,-1.0,883,-1.0,66794,-1.0,1171,-1,75702.0,971.0,667953,734445,909466,Australia/Oceania
142,Madagascar,67842,15.0,1420,1.0,66399,29.0,23,-1,2325.0,49.0,524209,17966,29178077,Africa
143,Sudan,63754,-1.0,5008,-1.0,58277,-1.0,469,-1,1386.0,109.0,562941,12240,45992020,Africa
144,Mauritania,63665,-1.0,997,-1.0,62437,-1.0,231,-1,12988.0,203.0,1009957,206030,4901981,Africa
145,Cabo Verde,63229,-1.0,413,-1.0,62756,-1.0,60,23,111382.0,728.0,401622,707482,567678,Africa
146,Bhutan,62605,-1.0,21,-1.0,61564,-1.0,1020,-1,79454.0,27.0,2303734,2923739,787941,Asia
147,Burundi,53492,-1.0,38,-1.0,53394,-1.0,60,-1,4237.0,3.0,345742,27386,12624840,Africa
